Name,X-Coordinate,Y-Coordinate,Tag,Area (ha),Imperv. (%),공원녹지 X,
S01541TTTT,178582.172,551886.7,공원,0.09,15,TRUE,100
S01542TTTT,178612.172,551886.7,공원,0.09,15,TRUE,100
S01543TTFF,178637.266,551886.438,공원,0.026391,15,TRUE,100
S01544TFFT,178672.266,551886.6,공원,0.089444,15,TRUE,100
S01545TTTT,178702.172,551886.7,공원,0.09,15,TRUE,100
S01546TTTT,178732.172,551886.7,공원,0.09,15,TRUE,100
S01547TTTT,178762.172,551886.7,자족복합용지,0.09,85,FALSE,85
S01548TTTT,178792.172,551886.7,자족복합용지,0.09,85,FALSE,85
S01549TTTT,178822.172,551886.7,자족복합용지,0.09,85,FALSE,85
S01550FTTT,178851.625,551885.5,자족복합용지,0.082554,85,FALSE,85
S01551FTTT,178881.438,551882.4,자족복합용지,0.063729,85,FALSE,85
S01552TTTT,178913.344,551885.75,상업시설,0.081845,100,FALSE,100
S01553TTTT,178942.172,551886.7,상업시설,0.09,100,FALSE,100
S01554TTTT,178972.172,551886.7,상업시설,0.09,100,FALSE,100
S01555TTTT,179002.172,551886.7,상업시설,0.09,100,FALSE,100
S01556TTTF,179026.9,551887.438,공원,0.05794,15,TRUE,100
S01557FFTT,179076.844,551872.9,자족시설,0.000178,85,FALSE,85
S01558TTTT,179093.766,551885.938,자족시설,0.079852,85,FALSE,85
S01559TTTT,179122.172,551886.7,자족시설,0.09,85,FALSE,85
S01560FTTT,179151.609,551885.3,자족시설,0.081416,85,FALSE,85
S01561FTTT,179181.422,551882.2,자족시설,0.062666,85,FALSE,85
S01562FTFF,179206.3,551879.938,자족시설,0.016136,85,FALSE,85
S01563FFTF,179241.891,551880,자족시설,0.033665,85,FALSE,85
S01564TFFF,179272.156,551890.4,자족시설,0.0327,85,FALSE,85
S01568TFTT,179393.9,551887,공원,0.079495,15,TRUE,100
S01569TTTT,179420.8,551885.938,공원,0.081036,15,TRUE,100
S01570TTTT,179437.8,551873.7,공원,0.000566,15,TRUE,100
S01639TTTT,178527.172,551857.8,녹지,0.059048,0,TRUE,100
S01640FTTF,178547.891,551853.063,자족시설,0.05419,85,FALSE,85
S01641TFFT,178585.422,551862.5,자족시설,0.046596,85,FALSE,85
S01642TTFF,178612.469,551858.6,자족시설,0.07799,85,FALSE,85
S01645TFTT,178702.172,551856.7,자족복합용지,0.09,85,FALSE,85
S01646TTTT,178732.172,551856.7,자족복합용지,0.09,85,FALSE,85
S01647TTTT,178762.172,551856.7,공원,0.09,15,TRUE,100
S01648TTTT,178792.172,551856.7,공원,0.09,15,TRUE,100
S01649TTTT,178822.172,551856.7,공원,0.09,15,TRUE,100
S01650TTTT,178852.172,551856.7,공원,0.09,15,TRUE,100
S01651TTTT,178882.172,551856.7,자족복합용지,0.09,85,FALSE,85
S01652TTTT,178912.172,551856.7,상업시설,0.09,100,FALSE,100
S01653TTTT,178942.172,551856.7,상업시설,0.09,100,FALSE,100
S01654TTTT,178972.172,551856.7,상업시설,0.09,100,FALSE,100
S01655TTTT,179002.172,551856.7,공원,0.09,15,TRUE,100
S01656TTTF,179024,551857.8,공원,0.040293,15,TRUE,100
S01657FFTT,179073.9,551852.6,자족시설,0.016069,85,FALSE,85
S01658TTTT,179092.172,551856.7,자족시설,0.09,85,FALSE,85
S01659TTTT,179122.172,551856.7,자족시설,0.09,85,FALSE,85
S01660TTTT,179152.172,551856.7,자족시설,0.09,85,FALSE,85
S01661TTTF,179182.172,551856.7,자족시설,0.089988,85,FALSE,85
S01662FFTT,179216.531,551856.7,자족시설,0.029732,85,FALSE,85
S01663TTTT,179242.172,551856.7,자족시설,0.09,85,FALSE,85
S01664TTTT,179272.172,551856.7,자족시설,0.09,85,FALSE,85
S01665FTTT,179301.6,551855.25,자족시설,0.081143,85,FALSE,85
S01666FTTT,179331.422,551852.1,자족시설,0.062263,85,FALSE,85
S01667FTTF,179354.422,551849.75,자족시설,0.024012,85,FALSE,85
S01668TFTT,179394.625,551856.75,자족시설,0.075306,85,FALSE,85
S01669TTTT,179422.172,551856.7,자족시설,0.09,85,FALSE,85
S01670TTTT,179439.984,551854.1,녹지,0.015466,0,TRUE,100
S01739TTTT,178531.422,551828.7,녹지,0.032735,0,TRUE,100
S01740TTTT,178552.172,551826.7,자족시설,0.09,85,FALSE,85
S01741FTTT,178580.391,551823.4,자족시설,0.067029,85,FALSE,85
S01742FTTF,178608.016,551818.3,자족시설,0.03042,85,FALSE,85
S01743FFTF,178648.438,551820.063,유보형복합용지,0.017278,85,FALSE,85
S01745TFFT,178703.25,551834.25,자족복합용지,0.04407,85,FALSE,85
S01746TTFT,178732.922,551831.2,자족복합용지,0.062689,85,FALSE,85
S01747TTFT,178762.75,551828.1,보행자전용도로,0.081212,100,TRUE,100
